Categories|Name 1|Name 2|Phone|Address 1|Address 2
|Sabah International Inc., a Division of Sciens Building Solutions||9257345750|5925 Stoneridge Drive|Pleasanton CA 94588
|The GB Group, Inc.||408-591-4103|Good Samaritian, 2317 Saidel Dr. #2 and #4|San Jose CA 95124
|Galeb Paving, Inc.||408-253-4747|12340 Saratoga Sunnyvale Road|Saratoga CA 95070
|Coulter Construction, Inc||6509648229|Stanford University Florence Moore Dinning 436 Mayfield|Stanford CA 94305
|The Sandman Termite Company DBA The Building Company||4088216663|3943 Grove Ave|Palo Alto CA 94303
|Technical Builders, Inc.||408-966-0379|430 N. Mary Ave.|Sunnyvale CA 94085
|Pimentel Communications||5107543607|700 Welch Rd|Stanford CA 94304
|Drummond and Sons Inc|19970 Mckean Rd, San Jose, CA 95120|408-630-9131|9750 Monterey Rd|Morgan hill, CA CA 95037
|Olson Electrical Services||415-606-0671|No physical address|
|Pimentel Communications RM G78||5107543607|725 Welch Rd|Stanford CA 94304
|Anza Engineering Corp.|N/A|925 513-2060|Lomita Drive|Stanford CA 94305
|Argonaut Window & Door, Inc.||408-376-4018|10612 S De Anza Blvd|Cupertino CA 95014
|Mai Construction Inc.||408-434-9880|380 Roth Way (Stanford Keck 1st Floor Lab TI)|Stanford CA 94305
|Patriot Construction||6502699937|675 Lomita|Stanford CA 94306
|Patriot Construction||(650) 269-9937|554 Salvatierra Walk|Stanford CA 94305
|Tracery Professional Builders, INC.||(408) 643-0018|983 Lakebird Drive|Sunnyvale CA 94089
|BBI-Con, Inc.|BBI Construction|510-286-8200 x 171|4890 Hamilton Ave.|San Jose CA 95126
|Gera construction inc.||4085960044|12650 Harding Ave.|San Martin CA 95046
|TJHale Company LLC||952-738-1198|No physical address|
|NOVO Construction Inc.||6502833852|1900 Charleston Road|Mountain View CA 94043
|Patriot Construction, Inc||650-269-9937|No physical address|
|Page & Pio Construction, Inc.||510-773-9558|1047 Tulane Dr|Mountain View CA 94040
|Skyline Construction, Inc. - Reed Smith Project||415-720-8605|1841 Page Mill Rd.|Palo Alto CA 94304
|The Midglen Studio Associates||(650) 743-8206|831 Midglen Way|Woodside CA 94062
|Craftsmen Builders Inc.||408-202-8903|No physical address|
|Joseph J. Albanese, Inc.||408-627-1080|No physical address|
|Ned Clyde Construction||9255865288|159 Mason Circle|Concord CA CA 94520
|Via Builders, Inc.||(650)617-5557|131 Hamilton Ct|Los Altos CA 94022
|Capital Building Maintenance||650-922-4690|432 No. Canal Street|South San Francisco CA 94080
|Ward Construction||408 823-5305|No physical address|
|SUPREME AIR SYSTEMS, INC||408-376-0406|80 GILMAN AVENUE, SUITE 1|CAMPBELL CA 95008
|Rudolph and Sletten Microsoft SVC Project # 10671300||949-279-7259|No physical address|
|Pacific Ridge Builders, Inc||408-204-2922|2350 Mission College Blvd|Santa Clara CA 95054
|Radonich Corp dba Cal Coast Telecom||408.454.7204|616 Jane Stanford Way, Encina Hall Center|Stanford CA 94305
|Radonich Corp. dba Cal Coast Telecom||408.454.7204|514 Lasuen Mall, Building 590|Stanford CA 94305
|Saviano Co., Inc.|N/A|650-948-3274|1784 Smith Ave.|San Jose CA 95112
|Precision Stairs, Inc||2094929800|485 Bitritto Way, Unit F|Modesto CA 95356
|Retrolock||909-241-4668|167 E Santa Clara|San Jose CA 95112
|Hard Rock Concrete, Inc.||408 464-1091|241 Commercial St.|Sunnyvale CA 94085
|Central Concrete||408-483-9801|755 Stockton Ave|San Jose CA 95126
|Millie and Severson General Contractors||9252270700|1605 Industrial Ave|San Jose CA 95112
|The Whiting-Turner Contracting Company||925-580-5207|180 Stock Farm Road|Stanford, CA CA 94305
|Pulte Home Company LLC||9252009775|Coronado and Raleigh Rd.|San Jose CA 95119
|Andrian Inc|Stations|408-434-0730|1935 Lundy Ave|San Jose CA 95131
|Spacetone Acoustics, Inc.||925-519-0785|1140 Enterprise Way|Sunnyvale CA 94089
|Western Allied Mechanical||650-326-0750|1180 O'Brien Drive|Menlo Park CA 94025
|Roof Leak Services Inc.|n/a|4086549800|No physical address|
|Redwood Electric Group||4083908633|684 W Maude Avenue|Sunnyvale CA 94089
|GOODFELLOW BROS., INC.|N/A|8084946628|Moffett Federal Airfield|Mountain View CA 94043
|MODERN LANDSCAPING INC||4083714477, EXT 2|214 CRISTICH LANE, STE. 101|CAMPBELL CA 95008
|Central Concrete||408-483-9801|755 Stockton Ave|San Jose CA 95126
|Brady Company/Central California, Inc.||408-593-5180|233 Bonair Siding Road|Stanford CA 94305
|Redwood Electric Group||4083908633|1050 Enterprise Way, 6th Floor|Sunnyvale CA 94089
|Nolan Construction and Design||4087164440|No physical address|
|Blocka Construction Inc.||510-377-6673|No physical address|
|Case Pacific Company||5106931261|465 N. Mary|Sunnyvale CA 94085
|Pete Moffat Construction, Inc.||650-313-2405|1285 Hamilton Ave|Palo Alto CA 94303
|District Council 16||4089211439|2149 Oakland Road|San Jose CA 95131
|Cutting Edge Drapery||415-824-6000|No physical address|
|JP Digital||650-965-0803|925 E Meadow Dr.|Palo Alto CA 94303
|SBI Builders, Inc.||(408) 375-6033|2991 El Camino Real|Redwood City CA 94061
|Pacific Steel Group||909-243-2151|615 Mathilda Ave|Sunnyvale, CA CA 94085
|Sanco Pipelines, Inc.||408-377-2793|213 CRISTICH LANE|CAMPBELL CA 95008
|Malcolm Dilling||5104600126|465 N Mary Ave|Sunnyvale CA 94085
|Swinerton Builders||925-808-8668|2370 Clove Drive|San Jose CA 95128
|DPR Construction||925-786-8879|680 Macon Rd.|Mountain View CA 94043
|Anton Building Company, Inc.||949-800-9318|1828 S. Milpitas Blvd|Milpitas CA 95035
|CLADDAGH CONSTRUCTION, INC.||(408) 640-2920|1788 Oak Creek Drive|Palo Alto CA 94304
|ISEC, Inc.||510-719-6327|No physical address|
|Redwood Electric Group||4083908633|684 W Maude Avenue|Sunnyvale CA 94089
|GOODFELLOW BROS., INC.|N/A|8084946628|Moffett Federal Airfield|Mountain View CA 94043
|MODERN LANDSCAPING INC||4083714477, EXT 2|214 CRISTICH LANE, STE. 101|CAMPBELL CA 95008
|The Whiting-Turner Contracting Company||925-580-5207|180 Stock Farm Road|Stanford, CA CA 94305
|Pulte Home Company LLC||9252009775|Coronado and Raleigh Rd.|San Jose CA 95119
|District Council 16||4089211439|2149 Oakland Road|San Jose CA 95131
|Badger Daylighting Corp||408-318-1202|765 Teal Dr|Beicia CA 94510
|RC Benson & Sons||6509653430|1959 Leghorn st|Mt. View CA 94043
|Capital City Drywall Inc.||916-257-5310|No physical address|
|Nexgen Builders, Inc.||831-212-2713|567 Maybell Ave.|Palo Alto CA 94303
|Google CL-4 1400 Crittenden Lane||408-926-2718|1400 Crittenden Lane|Mountain View CA 94043
|PAC CON Glazing, Inc.|Pacific Glazing Contractors|408.778.9243 x 133|15940 Concord Circle|Morgan Hill CA 95037
|GRADETECH INC|N/A|925-890-2538|No physical address|
|Magnum Drywall||510-358-7970|42027 Boscell rd.|Fremont CA 94538
|GOOGLE CL-3 1300 CRITTENDEN LANE||408-926-2718|1300 CRITTENDEN LANE|MOUNTAINVIEW CA 94043
|Columbia Electric, Inc.||510 430-9505|No physical address|
|Bay Area Builders, Inc.||408-648-4500|3360 De La Cruz Blvd.|Santa Clara CA 95054
|Robert A. Bothman Construction||408-891-5840|2700 Scott Blvd. (warehouse)|Santa Clara CA 95050
|TruTeam of California||925-294-4095|6144 Industrial Way Ste B|Livermore CA 94551
|D.C. Vient, Inc.||2095781224|1556 Cummins Dr.|Modesto CA 95358
|SMITH DENISON CONSTRUCTION COMPANY||925-606-4433|525 DEL REY AVE. & 629 N. MATHILDA AVE.|SUNNYVALE CA 94085
|Integrated Communication Systems||4088577469|1160 Enterprise Way|Sunnyvale CA 94089
|AMPAM Parks Mechanical||213-820-8363|No physical address|
|Hathaway Dinwiddie Construction Co.|Project: Apple MR06|408-314-6672|785 N. Mary Ave.|Sunnyvlae CA 94085
|American Kitchen and Bath Inc.||408-436-8151|1758 Junction Ave., Suite D|San Jose CA 95112
|KEYCON INC||650-776-2415|495 N. WHISMAN ROAD STE 400|MOUNTAIN VIEW CA 94043
|Western National Builders||(408) 680-9483|1599 Berryessa Road|San Jose CA 95133
|Kiewit Infrastructure West Co.||707 439 7300|4157 Zanker Road|San Jose CA 95134
|Cielo Rosario Q Ulpindo|Fortune Cabling Services|408-646-8877|No physical address|
|Bayview Services Inc||5105426618|6925 San Leandro Street|Oakland CA 94621
|Cyber Switching||4084369280|1921 Ringwood Ave.|San Jose CA 95131
|TOPOS Architects Inc.||(650)327-7573|654 Gilman St.|Palo Alto CA 94062
|Western National Builders||(408) 680-9483|1599 Berryessa Road|San Jose CA 95133
|Western National Builders||408-204-4004|477 S. Market Street|San Jose CA 95113
|ELCO ELECTRIC, INC|ELCO ELECTRIC, INC|408-434-6601|97 HILLVIEW AVENUE|LOS ALTOS CA 94022
|OMNI SHEET METAL, INC.||4084355020|1065 LA AVENIDA STREET|MOUNTAIN VIEW CA 94043
|Slater Construction and Design||408-205-8835|5861 Winfield Blvd|San Jose CA 95123
|Kiewit Infrastructure West Co.||707 439 7300|4157 Zanker Road|San Jose CA 95134
|Jacobs||619-208-6287|No physical address|
|Pete Moffat Construction, Inc.||6503132405|852 Madonna Way|Los Altos CA 94024
|Dowbuilt||650-465-5750|No physical address|
|Best Electrical Co., Inc (The)|Best Electrical Co., Inc|4082872040|667 Walnut Street|San Jose CA 95110
|SPE Construction Inc.||415-859-0952|No physical address|
|CALSTATE CONSTRUCTION, INC.||5105577858|18900 PEET ROAD|MORGAN HILL CA 95037
|West Pacific Cabinets||916.652.6840|3121 Swetzer Road, STE a|loomis CA 95650
|24/7 Concrete, Inc.||4084266169|No physical address|
|Habitat for Humanity East Bay/Silicon Valley, Inc.||510-803-3323|1590 Las Plumas Avenue|San Jose CA 95133
|Mai Construction Inc.||408-434-9880|369 North South Axis (Stanford Stauffer Basement Lab and Office TI)|Stanford CA 94305
|D & H ELECTRIC||8313458928|17156 WILSON WAY|ROYAL OAKS CA 95076
|Hung Tran Construction||4085958088|430 Mountain View Avenue|Mountainview CA 94041
|Re-Creation Construction Inc||4088688245|2056 Emerson St|Palo Alto CA 94301
|master craft waterproofing & sealants||40896405829|673 e. vineyard ave|livermore CA 94550
|Decker Electric||650-269-2086|147 Beacon Street|South San Francisco CA 94080
|Schaper Construction, Inc||4084370337|1177 N 15th Street|San Jose CA 95112
|MILROY CONSTRUCTION, INC.||650-965-5769|623 MIRADA AVE|STANFORD CA 94305
|commercial exteriors inc||4089689857|No physical address|
|Silva Custom Construction, Inc.||408-612-4888|1046 Pendleton Avenue|Sunnyvale CA 94087
|XL Construction Corporation (Google R&D Project)||209-701-9007|918 North Rengstorff Ave.|Mountain View , CA. CA 94043
|Radonich Corp dba Cal Coast Telecom||408.454.7204|75 Alta Road|Stanford CA 94305
|Broken Arrow Communications, Inc.|BACOM|707-366-5999`|279 Campus Drive|Stanford, CA CA 94305
|Innovate Concrete, Inc. dba Innovate Engineering||4086442367|No physical address|
|Parden Construction||408-867-1060|14890 Farwell Court|Saratoga CA 95070
|Berkey Enterprises Inc.||415 269-3792|No physical address|
|Anza Engineering Corp.|N/A|925 513-2060|Lasuen Drive|Sanford CA 94305
|Del Monte Electric Co||925-209-1845|6998 Sierra Ct Dublin|Dublin CA 94568
|Prime Electric, Inc.||510-919-6949|1941 RINGWOOD AVENUE|San Jose CA 95131
|CBF, INC.|CBF ELECTRIC|415-517-1512|No physical address|
|NOVO Construction Inc.||650-283-3852|2000 Charleston Road|Mountain View CA 94043
|Santos Industrial||2096345524|2520 Acme Ct|Turlock CA 95380
|Calstate Construction, Inc.||5106571800|825 W Iowa Ave|Sunnyvale CA 94086
|Bailey Fence Company||510-783-2980|No physical address|
|All Steel Fence, Inc.||(209) 983-8409|No physical address|
|Habitat for Humanity East Bay/Silicon Valley, Inc.|n/a|510-803-3323|2619 Broadway|Oakland CA 94612
|West Cal Plastering||510-825 7770|No physical address|
|DDH AFFILIATES INC|DH CONSTRUCTION|8312970642|899 SAN BENITO ST|HOLLISTER CA 95023
|Tri Valley Excavating Co., Inc.||925 766-7457|6503 Calaveras Road|Sunol CA 94586
|SIERRA CASCADE BUILDERS||408 314-9242|No physical address|
|Gus Flores Electric||831 915 1443|No physical address|
|Silva Custom Construction, Inc.||408-612-4888|15125 Venecian Way|Morgan Hill CA 95037
|Mai Construction Inc.||408-639-0296|Microsoft, SVC2 Deminsing Wall 1085 La Avenida Street|Mountain View, CA 94043
|Blach Contsruction - Hillview Building 2 Jobsite||4087592000|3400 Hillview Avenue|Palo Alto CA 94304
|SRGNC CRES, LLC||650-377-5735|No physical address|
|WEST COAST INSULATION||6503697111|2389 TRIPALDI WAY|HAYWARD CA 94545
|Tom Matthews Construction||831-234-8879|14350 La Rinconada Drive|Los Gatos CA 95032
|S&S Tile Inc||408-210-6665|1720 angela st|San Jose CA 95121
|JCC, Inc.|Johnson Construction Company|9253706067|No physical address|
|SILICON VALLEY CONSTRUCTION INC.|SAME AS ABOVE|(408)380-9707|No physical address|
|Jeffrey Wooding|Quality Tub and Tile|(408)844-8827|No physical address|
|General Lighting Service, Inc.||4082986670|975 Chestnut Street|San Jose CA 95110
|Do Builder & Design, Inc.||6692099999|6566 Eagle Ridge Ct.|Gilroy CA 95020
|Safe-T-Proof Disaster Preparedness Co., Inc.||8183555347|1207 W. Isabel St.|Burbank CA 91506
|JPI Construction, Inc.||8582096486|8170 Ronson Road Suite C|San Diego CA 92126
|Specialties ETC CORP||415-626-9895|1130 Kiefer Road|Sunnyvale ca CA 94086
|Interdecor, Inc.||4083280678|1854 Russell Ave|Santa Clara CA 95054
|OXFORD FIRE INC||9168656146|No physical address|
|United Rentals||5104931390|684 W. Maude Ave|Sunnyvale CA 94089
|Craig A. Rogers Construction, Inc.||408-499-3354|1323 Glenwood Dr.|San Jose CA 95125
|Charles F. Gagliasso Trucking Inc.||408-988-4021|415 Aldo ave.|Santa Clara CA 95054
|Flooring Solutions Inc||925-294-5200|No physical address|
|James Agresta Carpentry Inc|JA Carpentry|702-885-9272|2855 Stevens Creek Blvd, Suite 9150|San Jose CA 95050
|Fish Builders Inc.||408-438-1484|No physical address|
|PACIFIC GENERAL CONSTRUCTION||650-670-0159|581 UNIVERSITY AVENUE,|PALO ALTO, CA CA 94301
|California Drywall||(408)892-4084|2290 South 10th Street|San Jose CA 95112
|ATPD  Inc.||415-741-3938|1674 N Shoreline|Mountain View CA 94043
|Indoor Air Design, INC.||408-441-8844|925 Commercial St|San Jose CA 95112
|Pacific Ridge Builders, Inc.||408-472-4441|225 W Santa Clara Street|Santa Clara CA 95113
|CYC Commercial Interiors, Inc.||510-675-9208|No physical address|
|Lombardo Diamond Core Drilling Co., Inc.||408-608-9681|2225 De La Cruz Blvd.|Santa Clara CA 95050
|Devcon Construction, Inc.||408 593-6298|3215 Porter Dr.|Palo Alto CA 94304
|Devcon Construction, Inc.||408 593-6298|440 W. Julian|San Jose CA 95110
|McLarney Construction, Inc.||408-246-8600|1 Almaden Blvd., 11th Floor|San Jose CA 95113
|N90 Construction||4089665268|No physical address|
|Gidel and Kocal Construction Co., Inc.||408-370-0280|1679 N. Milpitas Blvd.|Milpitas CA 95035
|Nor-Cal Specialties, Inc.||4084879191|1330 North 4th Street|San Jose CA 95112
|South County Drywall & Plastering, Inc||831-801-4119|1460/1488 South De Anza|San Jose CA 95129
|LINEAR TECH STRIPING||408 648 8360|1140 PALM ST|SAN JOSE CA 95110
|MICROSOFT SVC||209-834-9355|1065 LA AVENIDA STREET,|MOUNTAIN VIEW, CA, CA 94043
|Best Electrical Co., Inc (The)|Best Electrical Co., Inc|4082872040|667 Walnut Street|San Jose CA 95110
|Pacific Ridge Builders, Inc.||408-472-4441|225 W Santa Clara Street|San Jose CA 95113
|Wattis Construction Co., Inc.||408-293-3669|McLaughlin Ave between Owsley Ave and Loupe Ave|San Jose CA 95122
|XSPlatforms||530-228-2970|31 Bellarmine Court|Chico CA 95928
|Safe2core, Inc||408-266-7000|No physical address|
|MAS Applied Construction Technology, Inc||408-398-1884|No physical address|
|J. T. Electric||209-247-0309|No physical address|
|Scott AG, LLC||707-545-4519|No physical address|
|Devcon Construction||408-593-6298|500 El Camino Real  SCU AEC|Santa Clara CA 95053
|Vintage Contractors, Inc.||415-282-1602|684 W. Maude Ave|Sunnyvale CA 94089
|STE Electric|Solar Technologies|925-791-6511|No physical address|
|DevconConstruction||408-593-6298|500 El Camino Real SCU SCDI|500 El Camino Real CA 95053
|LOVAZZANO MECHANICAL, INC.|N/A|(650) 367-6216|897 S.WINCHESTER BLVD.|SAN JOSE CA 95128
|CYC Commercial Interiors, Inc.||510-675-9208|No physical address|
|MNM INDUSTRIES, INC.||408-888-8484|No physical address|
|Maverick Painting Inc||4085924435|228 San Jose Ave|San Jose CA 95125
|CALIFORNIA ELECTRIC GROUP INC||831-4026966|No physical address|
|Siteline Interior Carpentry||1-844-567-1920 ext. 105|25 East Washington Street|Chicago CA 60602
|Sal Caruso Development Corporation||408-998-4087|20520/20530 Marion road|Saratoga CA 95070
|Sal Caruso Development Corporation||408-998-4087|980 El Camino Real Suite 200|Santa Clara CA 95050
|Cielo Rosario Q Ulpindo|Fortune Cabling Services|408-646-8877|No physical address|
|Wavecho LLC||4088330936|370 Lowell Ave|Palo Alto CA 94301
|Bayview Services Inc||5105426618|6925 San Leandro Street|Oakland CA 94621
|Pacific Underground Construction, Inc.||408-977-1655|1817 Stone Avenue|San Jose CA 95125
|Shepherds Plumbing Heating and AC Inc||6508614995|2550 Wyandotte St|Mountain View CA 94043
|Denis Matson General Building Contractor||(408) 234-2541|No physical address|
|Quality Cabinet & Fixture Company, LLC||+1 (619) 410-3513|7955 Saint Andrews Ave.|San Diego CA 92154
|Michael R. Crabtree DBA- Crystal Clear Communications||408-971-0632|No physical address|
|Vance Brown, Inc.|Vance Brown Builders|650-849-9900|150 E. McKinley, 330 S. Murphy and Intersection ofAries & McKinley|Sunnyvale CA 94086
|Roof Structures Incorporated||510-226-7171|3333 Yale Way|Fremont CA 94538
|Dimetrius Painting II, Inc||408.210.7853|1501 Berryessa Rd|, San Jose CA 95133
|Gary G. Sluder, Inc.||541-324-9811|No physical address|
|Supreme Comfort HVAC, Inc.||408-222-6463|18675 Adams Court, Suite M|Morgan Hill CA 95037
|Granite Construction Company||4083277000|8000 Santa Teresa Blvd|Gilroy CA 95020
|Woods Works Fire Protection, Inc.||5105666082|No physical address|
|Fedor Wall Systems Inc||925-209-0429|2925 Bayview Dr|Fremont CA 94538
|Palisade Builders Inc.||209-241-1024|525,555,769 East Evelyn Ave.|Mountain View CA 94041
|Bay Area Builders, Inc.||408-640-8938|3360 De La Cruz Blvd.|Santa Clara CA 95054
|Moran Residence Construction Site||(408)354-1833|No physical address|
|C. Overaa & Co.|Overaa Construction|510-499-4242|1440 Borregas Ave.|Sunnyvale CA 94089
|Master Construction||4087817171|No physical address|
|RTWYNS CONSTRUCTION INC.||408-598-0699|No physical address|
|AMPAM Parks Mechanical||6363692|No physical address|
|DICKINSON CAMERON CONSTRUCTION||949-973-3663|2855 STEVENS CREEK BLVD SUITE 1707|SAN JOSE, CA CA 95050
|Hung Tran Construction||408-595-8088|430 Mountain view Avenue|Mountainview CA 94041
|SummerHill Homes||6503801726|3505 Kifer Rd.|Santa Clara CA 95050
|Urata & Sons Concrete, LLC||916.705.2575|No physical address|
|Level5Retail construction||914.384.3923|No physical address|
|Aegis Fire Systems, Inc.|Aegis Enterprises.|(925) 953-4988|No physical address|
|Integrated Communication Systems||4088577469|2855 Stevens Creek Blvd. Unit #1663|Santa Clara CA 95050
|SMG Extol|Direct Line|408-544-0584|No physical address|
|Garney Pacific||209-275-9564|No physical address|
|Larry S. Kent Inc.|Kent Construction|408-591-4615|No physical address|
|Gidel and Kocal Construction Co., Inc.||(408) 370-0280|6201 America Center Drive|San Jose CA 95002
|Gus Flores Electric||831 915 1443|No physical address|
|Schaper Construction, Inc||4084370337|1177 N 15th Street|San Jose CA 95112
|commercial exteriors inc||4089689857|No physical address|
|Silva Custom Construction, Inc.||408-612-4888|1046 Pendleton Avenue|Sunnyvale CA 94087
|Silva Custom Construction, Inc.||408-612-4888|15125 Venecian Way|Morgan Hill CA 95037
|XL Construction Corporation (Google R&D Project)||209-701-9007|918 North Rengstorff Ave.|Mountain View , CA. CA 94043
|Mai Construction Inc.||408-639-0296|Microsoft, SVC2 Deminsing Wall 1085 La Avenida Street|Mountain View, CA 94043
|Radonich Corp dba Cal Coast Telecom||408.454.7204|75 Alta Road|Stanford CA 94305
|SRGNC CRES, LLC||650-377-5735|No physical address|
|S&S Tile Inc||408-210-6665|1720 angela st|San Jose CA 95121
|Blach Contsruction - Hillview Building 2 Jobsite||4087592000|3400 Hillview Avenue|Palo Alto CA 94304
|WEST COAST INSULATION||6503697111|2389 TRIPALDI WAY|HAYWARD CA 94545
|Tom Matthews Construction||831-234-8879|14350 La Rinconada Drive|Los Gatos CA 95032
|JCC, Inc.|Johnson Construction Company|9253706067|No physical address|
|Jeffrey Wooding|Quality Tub and Tile|(408)844-8827|No physical address|
|SILICON VALLEY CONSTRUCTION INC.|SAME AS ABOVE|(408)380-9707|No physical address|
|Broken Arrow Communications, Inc.|BACOM|707-366-5999`|279 Campus Drive|Stanford, CA CA 94305
|General Lighting Service, Inc.||4082986670|975 Chestnut Street|San Jose CA 95110
|Do Builder & Design, Inc.||6692099999|6566 Eagle Ridge Ct.|Gilroy CA 95020
|Innovate Concrete, Inc. dba Innovate Engineering||4086442367|No physical address|
|Safe-T-Proof Disaster Preparedness Co., Inc.||8183555347|1207 W. Isabel St.|Burbank CA 91506
|Parden Construction||408-867-1060|14890 Farwell Court|Saratoga CA 95070
|Berkey Enterprises Inc.||415 269-3792|No physical address|
|Cisco Air Systems, Inc.||9164442525|214 27th Street|Sacramento CA 95816
|Glazier Steel||510-557-3326|No physical address|
|Devcon Construction||4085936298|10500 North Tantau Ave.|Cupertino CA 94015
|Hatton Crane & Rigging, Inc.||925-309-9374|435-465 N. Mary Ave|Sunnyvale, CA CA 94089
|Teamwrkx Construction||408-8291312|No physical address|
|Silicon Valley Drywall, Inc.|Silicon Valley Drywall|408 526-9211|962 Rincon Cir|San Jose CA 95131
|Floor Seal Technology||408.436.8181|1005 Ames Ave|Milpitas CA 95035
|Architectural Glass & Aluminum Co. Inc.|AGA|(510) 333-6165|No physical address|
|XL Construction|N/A|209 581-2007|1190 Borregas Avenue|Sunnyvale CA 94089
|LARGO CONCRETE,INC.||(408) 874-2500|891 W Hamilton Ave|Campbell CA 95008
|Dowling Builders Inc||775-843-2321|No physical address|
|Turner Manufacturing Co. Inc.||559-421-8199|2677 S. Chestnut Avenue|Fresno CA 93725
|Estancia - Lennar Homes of CA||925.315.0366|2280 Mora Place|Mountain View, CA CA 94040
|San Joaquin Door & Supply, Inc||8056426600|No physical address|
|Paving Construction Services Inc||4082620486|800 Spreckles Ave|Alviso CA 95002
|Flaherty Brothers Construction, Inc.||650-274-9881|4750 Norris Canyon Rd Suite E|San Ramon CA 94583
|MGC Inc|DBA Mission Glass Company|(415) 417-9236|935 E Meadows|Palo Alto CA 94303
|TCG Builders Inc. dba The CORE Group|The CORE Group|408-858-7577|4005 Miranda|Palo Alto CA 94304
|Pacific Ridge Builders, Inc.||408-472-4441|225 W Santa Clara Street|San Jose CA 95113
|Kavanagh Construction Company|Kavanagh Construction Inc.|(650)966-4777|3881 Duncan Place|Palo Alto CA 94306
|Volheim & Sons Construction Inc||408/334-4696|No physical address|
|Alcal Specialty Contracting, Inc.|Gilroy Multi Products Division|(510) 623-5225|6205 Engle Way Suite K|Gilroy CA 95020
|Pappas Piping Services, Inc.||408-922-0958|1450 Koll Circle, Ste 108|San Jose CA 95112
|Commercial Casework Inc.||(510) 270-1429|156 University Avenue|Palo Alto CA CA 94301
|Hartley Construction||510-238-8592|1626 Martin Luther King Jr. Way|Oaklan, Ca. CA 94612
|JPI Construction, Inc.||8582096486|8170 Ronson Road Suite C|San Diego CA 92126
|Specialties ETC CORP||415-626-9895|1130 Kiefer Road|Sunnyvale ca CA 94086
|XSPlatforms||530-228-2970|31 Bellarmine Court|Chico CA 95928
|CSI Electrical Contractors INC.||408-642-8382|217 Devcon Dr.|San Jose CA 95112
|XL Construction|N/A|209 581-2007|1190 Borregas Avenue|Sunnyvale CA 94089
|Dowling Builders Inc||775-843-2321|No physical address|
|OLIVEIRA FENCE, INC.||408-727-2617|293 BROKAW ROAD|SANTA CLARA CA 95050
|Coral Construction Company||503-682-2252|No physical address|
|Capital Building Maintenance & Cleaning Services Inc.||650-588-9808|432 N. Canal St Suite #16|South San Francisco CA 94080
|Syserco||5105520128|No physical address|
|Flaherty Brothers Construction, Inc.||650-274-9881|4750 Norris Canyon Rd Suite E|San Ramon CA 94583
|Devcon Construction, Inc.||408 593-6298|650 N. Mary|Sunnyvale CA 94085
|A&B Roofing, Inc.||650-280-3732|1107 Shasta Street|Redwood City CA 94063
|Marquee Fire Protection||(925)691-0744|No physical address|
|4-ACE CONSTRUCTION, INC.||909.721.4759|No physical address|
|Terry Adams, Inc.||619-971-3031|2855 Stevens Creek Blvd., Suite 1715|San Jose CA 95050
|Devcon Construction, Inc.||408 593-6298|650 N. Mary|Sunnyvale CA 94085
|WR NEWMAN GENERAL CONTRACTORS||9168787986|10310 N  Foothill blvd|Cupertino CA 95014
|Strawn Construction, Inc.||4085941566|1925 Scott Blvd|Santa Clara CA 95050
|DMD GENERAL CONSTRUCTION INC||408-373-2911|2865 Waverley St|Palo Alto CA 94301
|Hanover RS Construction, LLC|Hanover Diridon|408-380-4000|717 W Julian St|San Jose, CA CA 95126
|O'Grady Paving, Inc.||510-754-0089|2513 Wyandotte Street|Mountain View CA 94043
|A. Zahner Co||913-488-2115|No physical address|
|SummerHill Homes||650 815 8193|333 N. Rengstorff|Mt. View CA 94042
|McClone Construction Company||(408) 646-0332|No physical address|
|Wattis Construction Co., Inc.||408-293-3669|McLaughlin Ave between Owsley Ave and Loupe Ave|San Jose CA 95122
|Frank Fiala Roofing, Inc.||(925) 484-0124|610 Arcadia Terrace|Sunnyvale CA 94085
|O'Brien Steel Erectors, Inc.||(209)331-9282|No physical address|
|Safe2core, Inc||408-266-7000|No physical address|
|J. T. Electric||209-247-0309|No physical address|
|Scott AG, LLC||707-545-4519|No physical address|
|MAS Applied Construction Technology, Inc||408-398-1884|No physical address|
|A. Zahner Co||913-488-2115|No physical address|
|Kavanagh Construction Company|Kavanagh Construction Inc.|(650)966-4777|3881 Duncan Place|Palo Alto CA 94306
|Volheim & Sons Construction Inc||408/334-4696|No physical address|
|Alcal Specialty Contracting, Inc.|Gilroy Multi Products Division|(510) 623-5225|6205 Engle Way Suite K|Gilroy CA 95020
|SummerHill Homes||650 815 8193|333 N. Rengstorff|Mt. View CA 94042
|Hartley Construction||510-238-8592|1626 Martin Luther King Jr. Way|Oaklan, Ca. CA 94612
|Anza Engineering Corp.|N/A|925 513-2060|Lasuen Drive|Sanford CA 94305
|California Erectors, Inc.||530-308-5888|737 Mathew Street|Santa Clara CA 95050
|Del Monte Electric Co||925-209-1845|6998 Sierra Ct Dublin|Dublin CA 94568
|Fire Stop Sprinkler Company||510-744-1500|37530 Enterprise Ct. Ste 2|Newark CA 94560
|SC Builders Inc.||(650) 280-4462|2345 Bering Dr.|San Jose CA 95131
|Lee's Imperial Welding, Inc.||530-308-5888|10450 Bubb Road|Cupertino CA 95104
|Lee's Imperial Welding||530-308-5888|615 N Mathilda Avenue|Sunnyvale CA 94085
|Apogee Construction, Inc.||650-346-2705|424 N 3rd Street|San Jose CA 95112
|Eurofins/MET Laborattories,Inc.||408-680-6770|3162 Nelick Street|Santa Clara CA 95110
